tipo,serie,fecha,archivo,fila_csv,valor_original,detalle
fuera_periodo,VIX,1990-08-30,VIX.csv,,29.89,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-31,VIX.csv,,29.9,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-04,VIX.csv,,29.58,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-05,VIX.csv,,28.52,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-06,VIX.csv,,30.19,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-07,VIX.csv,,28.73,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-10,VIX.csv,,29.34,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-11,VIX.csv,,28.38,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-12,VIX.csv,,28.12,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-13,VIX.csv,,29.33,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-14,VIX.csv,,30.56,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-17,VIX.csv,,29.55,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-18,VIX.csv,,28.82,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-19,VIX.csv,,27.88,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-20,VIX.csv,,28.66,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-21,VIX.csv,,30.04,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-24,VIX.csv,,30.56,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-25,VIX.csv,,28.81,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-26,VIX.csv,,28.19,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-27,VIX.csv,,28.67,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-09-28,VIX.csv,,29.11,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-01,VIX.csv,,28.06,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-02,VIX.csv,,27.28,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-03,VIX.csv,,27.9,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-04,VIX.csv,,27.51,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-05,VIX.csv,,27.85,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-08,VIX.csv,,28.04,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-09,VIX.csv,,30.71,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-10,VIX.csv,,31.19,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-11,VIX.csv,,33.98,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-12,VIX.csv,,31.94,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-15,VIX.csv,,31.64,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-16,VIX.csv,,31.45,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-17,VIX.csv,,31.37,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-18,VIX.csv,,29.6,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-19,VIX.csv,,27.86,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-22,VIX.csv,,27.27,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-23,VIX.csv,,27.57,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-24,VIX.csv,,28.28,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-25,VIX.csv,,29.04,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-26,VIX.csv,,30.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-29,VIX.csv,,31.54,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-30,VIX.csv,,30.52,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-10-31,VIX.csv,,30.04,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-01,VIX.csv,,30.25,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-02,VIX.csv,,30.03,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-05,VIX.csv,,29.85,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-06,VIX.csv,,29.11,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-07,VIX.csv,,30.87,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-08,VIX.csv,,30.79,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-09,VIX.csv,,26.96,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-12,VIX.csv,,25.6,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-13,VIX.csv,,24.58,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-14,VIX.csv,,22.89,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-15,VIX.csv,,22.57,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-11-16,VIX.csv,,21.34,Excluido: datos de enero de 2007 a diciembre de 2025.
