date,adjClose,close,divCash,splitFactor
2022-08-17,404.362978324,426.65,0.0,1.0
2022-08-18,405.538204137,427.89,0.0,1.0
2022-08-19,400.0885683105,422.14,0.0,1.0
2022-08-22,391.7577337167,413.35,0.0,1.0
2022-08-23,390.8099709642,412.35,0.0,1.0
2022-08-24,392.0610177975,413.67,0.0,1.0
2022-08-25,397.5959522716,419.51,0.0,1.0
2022-08-26,384.1377211871,405.31,0.0,1.0
2022-08-29,381.5977170106,402.63,0.0,1.0
2022-08-30,377.4086056449,398.21,0.0,1.0
2022-08-31,374.536884505,395.18,0.0,1.0
2022-09-01,375.712110318,396.42,0.0,1.0
2022-09-02,371.7504620129,392.24,0.0,1.0
2022-09-06,370.3477731393,390.76,0.0,1.0
2022-09-07,377.0010676614,397.78,0.0,1.0
2022-09-08,379.4652508177,400.38,0.0,1.0
2022-09-09,385.3603351378,406.6,0.0,1.0
2022-09-12,389.5020583659,410.97,0.0,1.0
2022-09-13,372.56553798,393.1,0.0,1.0
2022-09-14,373.9871821086,394.6,0.0,1.0
2022-09-15,369.7412049777,390.12,0.0,1.0
2022-09-16,366.9324133891,385.56,1.596398,1.0
2022-09-19,369.7779573149,388.55,0.0,1.0
2022-09-20,365.5334335995,384.09,0.0,1.0
2022-09-21,359.1571311571,377.39,0.0,1.0
2022-09-22,356.1402835836,374.22,0.0,1.0
2022-09-23,350.1732065218,367.95,0.0,1.0
2022-09-26,346.7090660903,364.31,0.0,1.0
2022-09-27,345.8239972438,363.38,0.0,1.0
2022-09-28,352.6285588056,370.53,0.0,1.0
2022-09-29,345.2625019541,362.79,0.0,1.0
2022-09-30,339.9235382673,357.18,0.0,1.0
2022-10-03,348.8979460333,366.61,0.0,1.0
2022-10-04,359.7091095775,377.97,0.0,1.0
2022-10-05,358.8716250776,377.09,0.0,1.0
2022-10-06,355.1695629132,373.2,0.0,1.0
2022-10-07,345.2625019541,362.79,0.0,1.0
2022-10-10,342.6263291533,360.02,0.0,1.0
2022-10-11,340.456482949,357.74,0.0,1.0
2022-10-12,339.3334923696,356.56,0.0,1.0
2022-10-13,348.288866397,365.97,0.0,1.0
2022-10-14,340.3517973865,357.63,0.0,1.0
2022-10-17,349.0978002889,366.82,0.0,1.0
2022-10-18,353.1995709646,371.13,0.0,1.0
2022-10-19,350.6966343342,368.5,0.0,1.0
2022-10-20,347.7559217152,365.41,0.0,1.0
2022-10-21,356.2069016688,374.29,0.0,1.0
2022-10-24,360.565627816,378.87,0.0,1.0
2022-10-25,366.3233337528,384.92,0.0,1.0
2022-10-26,363.5634416509,382.02,0.0,1.0
2022-10-27,361.6220003102,379.98,0.0,1.0
2022-10-28,370.2252501728,389.02,0.0,1.0
2022-10-31,367.5510098947,386.21,0.0,1.0
2022-11-01,365.9426589801,384.52,0.0,1.0
2022-11-02,356.7588800892,374.87,0.0,1.0
2022-11-03,353.0853685328,371.01,0.0,1.0
2022-11-04,358.1673767481,376.35,0.0,1.0
2022-11-07,361.5934497022,379.95,0.0,1.0
2022-11-08,363.5444079122,382.0,0.0,1.0
2022-11-09,356.0546317597,374.13,0.0,1.0
2022-11-10,375.6213150756,394.69,0.0,1.0
2022-11-11,379.2567591547,398.51,0.0,1.0
2022-11-14,376.0305404562,395.12,0.0,1.0
2022-11-15,379.2377254161,398.49,0.0,1.0
2022-11-16,376.3445971437,395.45,0.0,1.0
2022-11-17,375.1930559563,394.24,0.0,1.0
2022-11-18,376.8965755641,396.03,0.0,1.0
2022-11-21,375.5261463824,394.59,0.0,1.0
2022-11-22,380.5796039898,399.9,0.0,1.0
2022-11-23,382.9778550577,402.42,0.0,1.0
2022-11-25,382.8922032339,402.33,0.0,1.0
2022-11-28,376.7823731323,395.91,0.0,1.0
